NAME,TEAM,ORPM,DRPM,RPM,WINS,Season,SEASON_ID,PLAYER_ID
Kent Bazemore,ATL,-2.14,-0.62,-2.77,-0.06,15,22015,262.0
Kirk Hinrich,CHI,-2.74,-0.03,-2.77,-0.07,15,22015,309.0
Elton Brand,ATL,-3.11,0.32,-2.79,-0.03,15,22015,498.0
James Michael McAdoo,GS,-1.4,-1.38,-2.79,-0.01,15,22015,834.0
Luke Babbitt,NO,-1.48,-1.32,-2.79,-0.05,15,22015,510.0
Xavier Henry,LAL,-3.06,0.23,-2.83,-0.01,15,22015,454.0
Nik Stauskas,SAC,-1.56,-1.28,-2.83,-0.1,15,22015,616.0
Danny Granger,MIA,-2.46,-0.38,-2.84,-0.05,15,22015,642.0
Solomon Hill,IND,-2.59,-0.26,-2.85,-0.23,15,22015,374.0
Tayshaun Prince,MEM/BOS/DET,-2.85,0.0,-2.86,-0.14,15,22015,590.0
Patrick Christopher,UTAH,-1.68,-1.19,-2.87,0.0,15,22015,1217.0
Lucas Nogueira,TOR,-2.13,-0.77,-2.9,0.0,15,22015,433.0
Glen Rice Jr.,WSH,-1.87,-1.03,-2.91,-0.01,15,22015,857.0
Miles Plumlee,PHX/MIL,-2.35,-0.56,-2.91,-0.17,15,22015,580.0
Spencer Hawes,LAC,-2.21,-0.74,-2.95,-0.21,15,22015,319.0
Robbie Hummel,MIN,-2.13,-0.87,-2.99,-0.15,15,22015,516.0
Joffrey Lauvergne,DEN,-0.93,-2.11,-3.04,-0.06,15,22015,1239.0
Vander Blue,LAL,-0.78,-2.26,-3.05,-0.02,15,22015,1046.0
Jose Calderon,NY,-0.61,-2.44,-3.05,-0.29,15,22015,349.0
Festus Ezeli,GS,-2.18,-0.88,-3.05,-0.12,15,22015,480.0
Jabari Parker,MIL,-0.37,-2.69,-3.06,-0.19,15,22015,495.0
Chris Douglas-Roberts,LAC,-2.38,-0.73,-3.11,-0.03,15,22015,555.0
Luke Ridnour,ORL,-2.08,-1.05,-3.14,-0.2,15,22015,776.0
Austin Daye,SA/ATL,-1.34,-1.81,-3.14,-0.1,15,22015,916.0
Kenyon Martin,MIL,-2.86,-0.3,-3.16,-0.03,15,22015,459.0
Ognjen Kuzmic,GS,-2.1,-1.07,-3.17,-0.03,15,22015,1215.0
Kostas Papanikolaou,HOU,-1.56,-1.62,-3.18,-0.27,15,22015,752.0
Tim Hardaway Jr.,NY,-1.1,-2.12,-3.22,-0.57,15,22015,157.0
Ben Gordon,ORL,-1.74,-1.49,-3.22,-0.27,15,22015,1228.0
Miroslav Raduljica,MIN,-2.11,-1.13,-3.24,-0.01,15,22015,816.0
Jorge Gutierrez,BKN/MIL,-2.3,-0.95,-3.25,-0.07,15,22015,844.0
Lance Stephenson,CHA,-2.63,-0.63,-3.26,-0.59,15,22015,291.0
Will Bynum,WSH,-0.13,-3.14,-3.27,-0.02,15,22015,1254.0
Lester Hudson,LAC,-2.19,-1.1,-3.29,-0.02,15,22015,802.0
Russ Smith,NO/MEM,-1.38,-1.92,-3.3,-0.03,15,22015,919.0
Toure' Murry,UTAH/WSH,-2.45,-0.92,-3.37,-0.01,15,22015,846.0
JaVale McGee,DEN/PHI,-1.03,-2.35,-3.38,-0.13,15,22015,336.0
Martell Webster,WSH,-1.98,-1.43,-3.41,-0.17,15,22015,519.0
Jabari Brown,LAL,-0.39,-3.05,-3.44,-0.29,15,22015,1311.0
E'Twaun Moore,CHI,-2.56,-0.97,-3.53,-0.28,15,22015,426.0
Nick Johnson,HOU,-1.45,-2.09,-3.54,-0.16,15,22015,1265.0
Dante Cunningham,NO,-4.17,0.62,-3.55,-0.91,15,22015,509.0
Tony Parker,SA,-0.29,-3.29,-3.58,-1.17,15,22015,367.0
Shannon Brown,MIA,-2.24,-1.36,-3.6,-0.06,15,22015,1146.0
JJ Hickson,DEN,-2.25,-1.37,-3.62,-0.89,15,22015,794.0
Gal Mekel,NO,-2.55,-1.08,-3.63,-0.03,15,22015,1042.0
Andrei Kirilenko,BKN,-2.81,-0.82,-3.63,-0.02,15,22015,657.0
Larry Drew II,PHI,-1.63,-2.02,-3.64,-0.14,15,22015,1156.0
Carlos Boozer,LAL,-0.79,-2.88,-3.66,-1.11,15,22015,1271.0
Alex Kirk,CLE,-2.46,-1.22,-3.68,-0.01,15,22015,1081.0
Derrick Williams,SAC,0.23,-3.93,-3.7,-1.02,15,22015,1034.0
John Lucas III,DET,-1.65,-2.05,-3.7,-0.17,15,22015,905.0
Drew Gordon,PHI,-1.95,-1.76,-3.71,-0.05,15,22015,1223.0
DeJuan Blair,WSH,-3.33,-0.39,-3.72,-0.13,15,22015,622.0
Ray McCallum,SAC,-0.85,-2.9,-3.75,-1.05,15,22015,878.0
Archie Goodwin,PHX,-1.33,-2.45,-3.78,-0.41,15,22015,866.0
Landry Fields,TOR,-2.86,-0.96,-3.81,-0.16,15,22015,805.0
Bruno Caboclo,TOR,-2.27,-1.61,-3.89,-0.02,15,22015,627.0
John Salmons,NO,-3.86,-0.05,-3.91,-0.21,15,22015,779.0
T.J. Warren,PHX,-3.06,-0.86,-3.92,-0.52,15,22015,239.0
Earl Barron,PHX,-3.88,-0.08,-3.96,-0.12,15,22015,1290.0
Brandon Davies,PHI/BKN,-1.18,-2.78,-3.97,-0.37,15,22015,936.0
Ekpe Udoh,LAC,-3.37,-0.62,-3.99,-0.11,15,22015,443.0
Chris Kaman,POR,-2.01,-2.05,-4.06,-1.26,15,22015,617.0
Gary Harris,DEN,-1.66,-2.4,-4.06,-0.7,15,22015,136.0
Brendan Haywood,CLE,-3.58,-0.54,-4.11,-0.11,15,22015,1176.0
Jason Maxiell,CHA,-4.03,-0.1,-4.13,-0.84,15,22015,863.0
Jerel McNeal,PHX,-3.01,-1.16,-4.18,-0.04,15,22015,1153.0
Austin Rivers,NO/LAC,-2.96,-1.3,-4.26,-1.65,15,22015,452.0
Joe Harris,CLE,-1.12,-3.17,-4.28,-0.53,15,22015,148.0
Doug McDermott,CHI,-2.17,-2.19,-4.36,-0.36,15,22015,518.0
Andrea Bargnani,NY,-1.68,-2.7,-4.37,-0.88,15,22015,766.0
Darius Miller,NO,-3.51,-0.89,-4.39,-0.05,15,22015,434.0
Alec Burks,UTAH,-1.46,-2.99,-4.45,-1.06,15,22015,115.0
Jeffery Taylor,CHA,-2.89,-1.59,-4.49,-0.5,15,22015,1298.0
Jason Smith,NY,-2.22,-2.36,-4.58,-2.24,15,22015,696.0
Malcolm Thomas,PHI,-2.45,-2.15,-4.6,-0.27,15,22015,1225.0
Samuel Dalembert,NY,-4.55,-0.07,-4.62,-0.69,15,22015,381.0
JaKarr Sampson,PHI,-1.42,-3.24,-4.65,-1.58,15,22015,618.0
Nazr Mohammed,CHI,-4.09,-0.63,-4.71,-0.17,15,22015,814.0
Tyler Ennis,PHX/MIL,-1.97,-2.77,-4.74,-0.57,15,22015,503.0
Kevin Seraphin,WSH,-3.47,-1.33,-4.8,-1.66,15,22015,732.0
Jarrett Jack,BKN,-2.19,-2.64,-4.83,-3.23,15,22015,645.0
Cameron Bairstow,CHI,-3.36,-1.48,-4.83,-0.09,15,22015,1142.0
Udonis Haslem,MIA,-4.0,-0.89,-4.89,-1.42,15,22015,891.0
Darius Morris,BKN,-3.56,-1.33,-4.89,-0.43,15,22015,1213.0
Gerald Wallace,BOS,-4.24,-0.69,-4.93,-0.42,15,22015,475.0
Anthony Bennett,MIN,-1.82,-3.19,-5.01,-1.43,15,22015,1222.0
Kyle Anderson,SA,-4.1,-0.94,-5.04,-0.57,15,22015,142.0
Lance Thomas,OKC/NY,-4.38,-0.68,-5.06,-2.35,15,22015,527.0
Ricky Ledo,DAL/NY,-2.36,-2.73,-5.09,-0.4,15,22015,853.0
Jeff Ayres,SA,-2.34,-2.79,-5.12,-0.66,15,22015,1155.0
Greg Stiemsma,TOR,-2.46,-2.79,-5.25,-0.11,15,22015,1201.0
Carl Landry,SAC,-3.5,-2.01,-5.51,-2.28,15,22015,667.0
Dwight Buycks,LAL,-2.9,-2.65,-5.55,-0.24,15,22015,839.0
Nate Wolters,MIL/NO,-5.15,-0.59,-5.73,-0.5,15,22015,373.0
Zach LaVine,MIN,-1.59,-4.3,-5.89,-4.14,15,22015,155.0
Dahntay Jones,LAC,-4.62,-1.31,-5.93,-0.28,15,22015,924.0
Johnny O'Bryant III,MIL,-4.61,-1.81,-6.42,-0.9,15,22015,1220.0
